#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
91,11787,"40.852924, -73.211260","Smithtown, New York",34794,80265,#829
92,11507,"40.770879, -73.652364","Albertson, New York",7755,80059,#838
93,12582,"41.550169, -73.726637","Stormville, New York",4550,79776,#849
94,11570,"40.665341, -73.638921","Rockville Centre, New York",27827,79679,#853
95,10588,"41.316837, -73.829264","Shrub Oak, New York",2006,79553,#857
96,10005,"40.705390, -74.008988","New York, New York",884,79517,#860
97,10579,"41.397661, -73.839130","Putnam Valley, New York",7945,79431,#865
98,10962,"41.050504, -73.960154","Orangeburg, New York",5580,79402,#868
99,11579,"40.844004, -73.644012","Sea Cliff, New York",5141,79308,#872
100,11762,"40.682635, -73.445756","Massapequa Park, New York",24471,79202,#875
101,10920,"41.153040, -73.938131","Congers, New York",8937,78958,#888
102,12448,"42.089536, -74.200347","Lake Hill, New York",218,78789,#895
103,10532,"41.100192, -73.798695","Hawthorne, New York",5582,78773,#898
104,11731,"40.862927, -73.316829","East Northport, New York",31250,78699,#903
105,14506,"43.002205, -77.505265","Mendon, New York",1289,78612,#906
106,11559,"40.605480, -73.716208","Lawrence, New York",8103,78572,#907
107,10541,"41.377000, -73.753830","Mahopac, New York",26693,78285,#922
108,10983,"41.031088, -73.947703","Tappan, New York",5756,78157,#930
109,10024,"40.786307, -73.970694","New York, New York",61414,78066,#935
110,11746,"40.814268, -73.362276","Huntington Station, New York",62828,77634,#952
111,10028,"40.776865, -73.954721","New York, New York",44987,77565,#955
112,10530,"41.023712, -73.812810","Hartsdale, New York",12453,77313,#963
113,11795,"40.708202, -73.303076","West Islip, New York",27127,77093,#975
114,11793,"40.650294, -73.514561","Wantagh, New York",32753,76959,#981
115,11782,"40.753968, -73.099453","Sayville, New York",15897,76905,#987
116,11783,"40.673140, -73.491849","Seaford, New York",22162,76838,#991
117,11758,"40.662298, -73.458413","Massapequa, New York",54933,76718,"#1,005"
118,10989,"41.122955, -73.938031","Valley Cottage, New York",9381,76578,"#1,010"
119,11788,"40.817677, -73.210123","Hauppauge, New York",16836,76481,"#1,014"
120,11780,"40.890431, -73.171453","Saint James, New York",14920,76414,"#1,018"
121,10986,"41.272382, -73.985586","Tomkins Cove, New York",1739,76127,"#1,040"
122,10549,"41.203948, -73.718025","Mount Kisco, New York",15327,75761,"#1,059"
123,11947,"40.947855, -72.575934","Jamesport, New York",218,75739,"#1,061"
124,10021,"40.769742, -73.961653","New York, New York",102078,75472,"#1,082"
125,11572,"40.630521, -73.637745","Oceanside, New York",31241,75049,"#1,111"
126,12570,"41.613737, -73.670422","Poughquag, New York",5884,74877,"#1,128"
127,11771,"40.865967, -73.525877","Oyster Bay, New York",9550,74623,"#1,141"
128,10916,"41.442343, -74.250577","Campbell Hall, New York",4070,74200,"#1,161"
129,10519,"41.342055, -73.661095","Croton Falls, New York",156,73750,"#1,201"
130,10528,"40.974752, -73.725777","Harrison, New York",12312,73732,"#1,203"
131,11510,"40.653614, -73.609056","Baldwin, New York",32346,73553,"#1,213"
132,10589,"41.328630, -73.697168","Somers, New York",7363,73472,"#1,219"
133,11977,"40.844797, -72.694993","Westhampton, New York",2143,73438,"#1,223"
