,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip Code,#,Location,City,Population,Avg. Income/H/hold,National Rank
58,10455.0,326,584,55.82,10455.0,1566,"40.814678, -73.908333","Bronx, New York",37465,19389,"#30,688"
59,10456.0,741,1253,59.14,10456.0,1578,"40.830877, -73.907954","Bronx, New York",76656,16664,"#31,194"
60,10457.0,644,1062,60.64,10457.0,1567,"40.846687, -73.898374","Bronx, New York",69048,19233,"#30,729"
61,10458.0,631,1114,56.64,10458.0,1545,"40.862831, -73.886395","Bronx, New York",77840,22072,"#29,779"
62,10459.0,440,764,57.59,10459.0,1573,"40.825558, -73.893156","Bronx, New York",39080,17498,"#31,042"
63,10460.0,467,831,56.2,10460.0,1564,"40.842724, -73.879745","Bronx, New York",53707,19517,"#30,656"
64,10461.0,653,1194,54.69,10461.0,852,"40.847409, -73.841403","Bronx, New York",49808,40024,"#12,112"
65,10462.0,765,1387,55.16,10462.0,1248,"40.842823, -73.858861","Bronx, New York",72077,33735,"#18,940"
66,10463.0,486,1089,44.63,10463.0,831,"40.880678, -73.906540","Bronx, New York",65576,40497,"#11,626"
67,10464.0,43,107,40.19,10464.0,322,"40.867099, -73.797609","Bronx, New York",4634,57458,"#3,498"
68,10465.0,552,1129,48.89,10465.0,605,"40.826285, -73.822762","Bronx, New York",42500,45650,"#7,988"
69,10466.0,737,1265,58.26,10466.0,1012,"40.891039, -73.847226","Bronx, New York",68787,37141,"#14,795"
70,10467.0,1142,1942,58.81,10467.0,1466,"40.877420, -73.872597","Bronx, New York",94342,29044,"#24,626"
71,10468.0,765,1174,65.16,10468.0,1504,"40.868093, -73.899730","Bronx, New York",78309,26852,"#26,795"
72,10469.0,925,1531,60.42,10469.0,745,"40.867849, -73.845140","Bronx, New York",63345,42102,"#10,232"
73,10470.0,156,286,54.55,10470.0,930,"40.900965, -73.863998","Bronx, New York",15780,38464,"#13,496"
74,10471.0,183,440,41.59,10471.0,341,"40.898117, -73.900227","Bronx, New York",23413,56488,"#3,755"
75,10472.0,582,926,62.85,10472.0,1535,"40.829650, -73.869368","Bronx, New York",64867,23565,"#29,061"
76,10473.0,638,1101,57.95,10473.0,1487,"40.817685, -73.858576","Bronx, New York",56166,27733,"#25,921"
77,10474.0,97,157,61.78,10474.0,1579,"40.810203, -73.884437","Bronx, New York",11354,16339,"#31,233"
78,10475.0,520,887,58.62,10475.0,829,"40.875266, -73.826037","Bronx, New York",38086,40528,"#11,597"
79,11429.0,381,542,70.3,11429.0,384,"40.709681, -73.738399","Queens Village, New York",27647,54467,"#4,274"
80,11004.0,239,367,65.12,11004.0,365,"40.745809, -73.711240","Glen Oaks, New York",14682,55156,"#4,105"
81,11101.0,258,520,49.62,11101.0,1468,"40.746970, -73.937530","Long Island City, New York",25595,28872,"#24,793"
82,11102.0,214,404,52.97,11102.0,1151,"40.772884, -73.926295","Astoria, New York",36291,35078,"#17,427"
83,11103.0,190,350,54.29,11103.0,928,"40.762634, -73.913156","Astoria, New York",44321,38482,"#13,478"
84,11104.0,178,308,57.79,11104.0,962,"40.744515, -73.920457","Sunnyside, New York",29506,37962,"#13,965"
85,11105.0,186,377,49.34,11105.0,921,"40.778997, -73.906847","Astoria, New York",42117,38674,"#13,303"
86,11106.0,234,457,51.2,11106.0,1180,"40.762211, -73.931528","Astoria, New York",43130,34651,"#17,874"
87,11201.0,285,700,40.71,11201.0,345,"40.693682, -73.989693","Brooklyn, New York",47746,56293,"#3,797"
88,11203.0,642,1017,63.13,11203.0,993,"40.649411, -73.934397","Brooklyn, New York",84498,37341,"#14,554"
89,11204.0,908,1456,62.36,11204.0,1345,"40.618675, -73.984893","Brooklyn, New York",74880,31798,"#21,264"
90,11205.0,317,581,54.56,11205.0,1478,"40.696771, -73.967061","Brooklyn, New York",35622,28070,"#25,611"
